Source des données,N° page,Type de centre,Domaine, Acte, catégorie d’actes, Finalité, Base légale, Dossier, Coût, Quittance/Reçu/Timbre, Délai de délivrance, Validité
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Hernie ombilicale non compliquée","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,22 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Sténose duodénale congénitale","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,68 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Cure Hernie simple","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,22 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Ténotomie + Ostéotomie","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,140 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Fistule resto vaginale acquise","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,100 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Rétablissement de continuité digestive","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,38 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Laparotomie simple (exploratrice)","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,36 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Laparotomie pour occlusion intestinale néonatale","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,40 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,29,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Spina Bifida","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,"36,000",Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Cure de torsion testiculaire","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,28 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Appendicectomie","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,28 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Laparotomie pour péritonite","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,40 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Parage pour brulures cutanées","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,40 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Circoncision pour paraphymosis","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,18 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Fracture ouverte du Coude","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,72 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Amputation de doigt","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,20 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Ostéosynthèse de phalanges","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,40 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Amputation ou désarticulation de pieds","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,80 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Amputation de la main","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,30 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,30,[CHUP-CDG],Santé,"ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)/Reprise de Magnon / Amputation d’un membre entier","ACTES DU BLOC OPÉRATOIRE 
(Urgences et/ou programme de routine y compris petite chirurgie)","Actes effectués par un spécialiste et nécessitant l’intervention au bloc 
opératoire","(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,34 000 F,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence, Pour un acte
